id,brand,car_model,type,desc,problem,datetime,status
569350,一汽-大众,迈腾,2018款 330TSI DSG 豪华型,一汽大众迈腾变速箱机电单元故障,"B115,",2021-02-01,处理反馈
569349,长城汽车,哈弗H6 Coupe,2018款 1.5T 自动 两驱 豪华型 红标,哈弗H6 Coupe电瓶频繁亏电希望处理,"H146,",2021-02-01,厂家受理
569346,北京现代,悦动,2020款 1.6L 自动 悦目版GL,北京现代悦动发动机异响行驶跑偏车身共振,"A9,A174,G117,H268,",2021-02-01,信息审核
569345,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机烧机油 减震器异响,"A63,G52,",2021-02-01,处理反馈
569335,奇瑞汽车,瑞虎5x,2017款 1.5T 手动 精英型,奇瑞瑞虎5x高速行驶发动机抖动故障报警 ,"A24,A34,",2021-02-01,信息审核
569331,长城汽车,风骏7,2020款 2.0T 柴油 两驱 新冠军版 公务型 小双 4D20M,长城风骏7发动机涡轮增压器损坏不予索赔,"A189,I297,",2021-02-01,厂家受理
569327,奇瑞汽车,瑞虎7,2020款 1.5T 手动 精英型,奇瑞瑞虎7天窗异响 朝阳轮胎鼓包,"F39,H164,H89,J299,",2021-02-01,信息审核
569326,东风悦达起亚,起亚KX5,2016款 1.6T 自动 两驱DLX,东风悦达起亚KX5中控台表面开裂,"H176,",2021-02-01,信息审核
569325,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,一汽丰田卡罗拉后备箱缝隙不一致要求解决,"H209,",2021-02-01,信息审核
569319,一汽-大众,速腾,2020款 280TSI DSG 舒适型 国VI,一汽大众速腾变速箱行驶异响希望厂家解决,"B33,",2021-02-01,处理反馈
569316,江铃汽车,驭胜S350,2016款 2.0T 自动 两驱 汽油 豪华版 7座,江铃驭胜S350经销商欺骗更换电脑模块,"A44,J306,",2021-02-01,信息审核
569313,奇瑞汽车,瑞虎8,2018款 1.5TCI 自动 特供版 7座,奇瑞瑞虎8悬架异响 中控台异响 发动机漏油,"A12,G204,H93,",2021-02-01,信息审核
569312,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,一汽丰田卡罗拉低速行驶变速箱顿挫异响,"B33,B19,",2021-02-01,信息审核
569311,北京现代,北京现代ix35,2012款 2.0L 自动 两驱 精英版 GLS,北京现代ix35启动后发动机敲缸异响,"A9,",2021-02-01,信息审核
569310,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408发动机烧机油 车身共振,"A63,H268,",2021-02-01,处理反馈
569309,特斯拉中国,Model 3,2020款 长续航 后轮驱动版,特斯拉Model 3行车安全辅助系统故障报警,"H170,J301,",2021-02-01,信息审核
569308,一汽-大众,宝来,2020款 1.5L 自动 舒适型,一汽大众宝来电瓶亏电影响出行用车,"H146,",2021-02-01,处理反馈
569307,东风标致,标致308,2019款 1.6L 手动 时尚版 国V,东风标致308方向盘转向柱松动要求解决,"D337,",2021-02-01,处理反馈
569304,长安福特,福睿斯,2019款 改款 1.5L 自动 质享型（胎压监测） 国VI,长安福特福睿斯4S店变相收费购车补贴不兑现,"I293,K307,K325,L313,",2021-02-01,处理反馈
569299,长城汽车,哈弗H2,2018款 1.5T 双离合 两驱 时尚型 创享版 蓝标,哈弗H2转向沉重虚位大希望尽快处理,"D156,D337,",2021-02-01,厂家受理
569298,广汽乘用车,传祺GS5,2019款 235T 自动 豪华版,广汽传祺GS5驾驶员安全带无法收回,"H118,",2021-02-01,信息审核
569297,长安福特,锐际,2020款 EcoBoost 245 两驱 聪慧嘉享款,长安福特锐界转向失去助力 转向沉重,"D156,D112,",2021-02-01,处理反馈
569296,奇瑞汽车,瑞虎7,2016款 2.0L CVT 耀臻版,奇瑞瑞虎7行驶时变速箱油管爆裂,"B22,",2021-02-01,信息审核
569291,沃尔沃亚太,沃尔沃S60,2019款 S60L 改款 T5 智进进阶版,亚太沃尔沃S60启动后变速箱异响,"B33,",2021-02-01,信息审核
569286,东风本田,本田XR-V,2020款 1.5L CVT 经典版,东风本田XR-V胎压故障报警要求解决,"H203,",2021-02-01,信息审核
569281,江铃汽车,驭胜S350,2014款 2.4T  自动  两驱 柴油 豪华天窗版 5座,江铃驭胜S350车身多处生锈存在质量问题,"H79,",2021-02-01,信息审核
569279,长城汽车,哈弗H6 Coupe,2015款 2.0T 自动 两驱尊贵型,哈弗H6 Coupe发动机严重烧机油希望处理,"A63,",2021-02-01,厂家受理
569276,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408机油异常增多希望处理,"A339,",2021-02-01,处理反馈
569272,一汽丰田,卡罗拉,2019款 双擎 1.8L E-CVT GL-i精英版,一汽丰田卡罗拉厂家未履行三包换车未兑现,"L310,",2021-02-01,信息审核
569270,一汽红旗,红旗H5,2018款 30TD 智联韵动版,一汽红旗H5韩泰轮胎老化开裂影响安全,"F100,",2021-02-01,信息审核
569268,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国VI,一汽大众奥迪A4L行驶颠簸路面车门异响,"H72,",2021-02-01,信息审核
569264,广汽菲克菲亚特,菲翔,2012款 1.4T 自动 劲享版,广汽菲亚特菲翔变速箱跳挡异响严重,"B115,",2021-02-01,信息审核
569262,BEIJING汽车,绅宝D50,2014款 1.5L 手动 豪华版,绅宝D50天窗密封条处存在生锈的现象,"H79,",2021-02-01,信息审核
569257,东风汽车,俊风E11K,2019款 标准型,东风俊风E11K充电系统故障多次检测无果	,"H340,",2021-02-01,信息审核
569255,东风乘用车,风神AX7,2018款 1.6T 自动 豪华型,东风风神AX7踩油门异响售后不予处理,"A9,A45,",2021-02-01,处理反馈
569252,一汽-大众,速腾,2020款 200TSI DSG 舒适型 国VI,一汽大众速腾颗粒捕捉器堵塞要求厂家解决,"A114,",2021-02-01,处理反馈
569245,广汽丰田,雷凌,2021款 双擎 1.8H E-CVT 运动版,广汽丰田雷凌仪表台异响希望处理,"H93,",2021-02-01,处理反馈
569244,广汽丰田,凯美瑞,2015款 2.5G 自动 豪华导航版,广汽丰田凯美瑞前挡风玻璃视物模糊,"H113,",2021-02-01,处理反馈
569242,北京现代,北京现代ix35,2018款 2.0L 自动 两驱 智勇·畅享版,北京现代ix35前轮耐克森轮胎起皮,"F186,",2021-02-01,处理反馈
569240,东风日产,轩逸,2018款 1.6XV CVT 尊享版,东风日产轩逸中控黑屏蓝牙无法连接,"H134,H155,",2021-02-01,处理反馈
569237,众泰汽车,众泰T600,2015款 1.5T 手动 豪华型,众泰T600车身车漆多处脱落要求厂家处理,"H81,",2021-02-01,信息审核
569235,东风本田,本田XR-V,2019款 1.5L CVT 经典版 国VI,本田XR-V车辆无法启动 方向盘没有助力,"A44,D265,I282,",2021-02-01,信息审核
569232,一汽解放,解放J6P,2011款 解放J6P 9.0 集装箱 半挂 牵引汽车 CA4250P66K24T1A1 EX型,一汽解放J6P新车发动机缺机油 故障灯亮,"A34,A63,M284,",2021-02-01,厂家受理
569229,东南汽车,东南DX3,2018款 1.5T CVT 尊贵型,东南DX3万力轮胎掉渣 胎花有纵向裂纹,"F100,F10,",2021-02-01,信息审核
569226,广汽本田,缤智,2015款 1.8L CVT 两驱豪华型,本田缤智发动机涨紧轮故障导致加速异响,"A9,",2021-02-01,信息审核
569223,一汽-大众,速腾,2014款 1.4TSI 手动 豪华型 改款,大众速腾车身稳定系统故障 ABS故障灯亮,"E74,H170,",2021-01-31,处理反馈
569222,上汽通用五菱,宝骏360,2019款 1.5L 手动 精英型 国VI,上汽通用五菱宝骏360灯光接触不良频繁跳动,"H71,",2021-01-31,信息审核
569220,上汽大众,途观L,2018款 330TSI 自动 两驱 豪华版,上汽大众途观L行驶时变速箱故障报警,"B96,B27,",2021-01-31,信息审核
569219,长城汽车,风骏5,2020款 2.0T 柴油 四驱 精英型 大双排 国VI GW4D20M,长城风骏5车辆无法启动要求给予解决,"A44,I292,",2021-01-31,处理反馈
569218,奇瑞捷豹路虎,捷豹XEL,2020款 2.0T 200PS S进取优雅版,奇瑞捷豹路虎XEL经销商出售问题车,"M284,",2021-01-31,处理反馈
569217,北京现代,北京现代ix35,2018款 2.0L 自动 两驱 智勇·畅享版,北京现代ix35车机塑料按钮电镀件起皮,"H168,",2021-01-31,信息审核
569216,一汽丰田,卡罗拉,2019款 双擎 1.8L E-CVT GL-i精英版,一汽丰田卡罗拉插数据线车机黑屏重启,"H134,H155,",2021-01-31,信息审核
569214,奇瑞汽车,艾瑞泽5,2016款 1.5L CVT 领锐版,奇瑞艾瑞泽5变速箱故障报警维修多次未解决,"B96,J298,",2021-01-31,信息审核
569212,广汽丰田,凯美瑞,2008款 200G 2.0 自动 NAVI 豪华导航版,广汽丰田凯美瑞半轴内球笼套渗油,"G161,",2021-01-31,信息审核
569211,吉利汽车,帝豪GL,2017款 1.3T 自动 精英型,吉利帝豪GL行驶时变速箱异响严重,"B33,",2021-01-31,处理反馈
569210,长安汽车,长安CS15,2019款 1.5L 手动 进取型 国VI,长安CS15电瓶经常亏电维修多次未解决,"H146,",2021-01-31,信息审核
569209,东风本田,本田UR-V,2020款 370TURBO 两驱 尊雅版,东风本田UR-V变速器漏油要求解决,"B22,",2021-01-31,厂家受理
569208,一汽丰田,RAV4荣放,2016款 2.0L CVT 两驱 智尚版 国V,一汽丰田RAV4荣放半轴内侧防尘套漏油,"G161,",2021-01-31,信息审核
569207,一汽-大众,宝来,2020款 1.5L 手动 舒适型,一汽大众宝来冷车行驶时转向异响,"D59,",2021-01-31,处理反馈
569206,长城汽车,炮,2020款 2.0T 越野版 手动 柴油 四驱 定制版 GW4D20M,长城炮尿素泵故障多次维修未解决,"A9,A24,A34,A114,J298,",2021-01-31,厂家受理
569204,一汽-大众,宝来,2020款 1.5L 自动 舒适型,一汽大众宝来发动机启停系统无法工作,"H263,",2021-01-31,处理反馈
569198,长城汽车,长城C50,2012款 1.5T 时尚型,长城C50车身 车门 底盘生锈影响驾驶安全,"H79,",2021-01-31,处理反馈
569195,东风日产,骐达TIIDA,2016款 1.6L CVT 智行版,东风日产骐达变速箱异响逐渐增大,"B33,",2021-01-31,处理反馈
569193,威马汽车,威马EX5,2018款 EX5 500 Lite探索版,威马EX5充电到90%提示动力电池故障,"H343,",2021-01-31,信息审核
569190,一汽丰田,RAV4荣放,2015款 2.0L CVT 两驱都市版,一汽丰田RAV4荣放半轴防尘套漏油严重,"G161,",2021-01-31,信息审核
569189,东南汽车,东南DX7,2018款 1.5T 手动 豪华型,东南DX7电子手刹出现故障导致无法手刹解除,"E159,",2021-01-31,信息审核
569186,奇瑞汽车,艾瑞泽5,2021款 1.6L CNG 豪华型,奇瑞艾瑞泽5发动机转速自动提高要求处理,"A35,",2021-01-31,信息审核
569182,奇瑞汽车,瑞虎8,2018款 1.5TCI 手动 特供版 5座,奇瑞瑞虎8电瓶线脱落 刹车时有异响,"E43,H110,",2021-01-31,信息审核
569180,一汽海马,福美来,2015款 1.6L 手动 挚爱版 M5,一汽海马福美来F5发动机运转时抖动有异响,"A9,A24,",2021-01-31,信息审核
569177,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾遥控钥匙经常亏电要求处理,"H119,",2021-01-31,处理反馈
569175,一汽-大众,迈腾,2017款 330TSI DSG 领先型,一汽大众迈腾行驶过程中变速箱没有奇数挡,"B20,",2021-01-31,处理反馈
569174,上汽大众斯柯达,柯迪亚克,2020款 TSI330 两驱 豪华优享版 5座,斯柯达柯迪亚克车身共振 变速箱异响,"B33,H268,",2021-01-31,处理反馈
569173,一汽丰田,亚洲龙,2019款 双擎 2.5L 豪华版 国Ⅵ,一汽丰田亚洲龙新车机油增多希望尽快处理,"A339,",2021-01-31,信息审核
569172,长安福特,锐际,2020款 EcoBoost 245 四驱 嘉享款,福特锐际发动机舱异响4S店保养乱收费,"A9,K307,Q349,",2021-01-31,处理反馈
569170,东风日产,轩逸,2021款 经典 1.6 XL CVT 豪华版,东风日产轩逸4S店诱导消费未告知车主,"K307,K325,",2021-01-31,处理反馈
569167,BEIJING汽车,BEIJING-X7,2020款 1.5TD DCT 致尚版,BEIJING-X7新车发动机漏油要求补偿,"A12,",2021-01-31,处理反馈
569165,一汽-大众奥迪,奥迪A4L,2018款 2.0T 进取型 30周年年型,一汽大众奥迪A4L低速时方向盘异响,"D59,",2021-01-31,信息审核
569162,上汽集团,锐腾,2015款 1.5TGI TST 豪华版,上汽名爵底盘异响 电子刹车拉线冻住,"E159,G56,",2021-01-31,处理反馈
569161,北京汽车制造厂,BJ 212,2020款 1.5T 方门 硬顶,北汽制造BJ212变速箱挂挡困难 挡杆抖动,"B20,B95,",2021-01-31,信息审核
569159,吉利汽车,缤瑞,2019款 200T DCT 缤驰版,吉利缤瑞4S店维修中控时造成车门出现划痕,"J300,J303,J299,",2021-01-31,处理反馈
569157,东风风行,风行SX6,2019款 1.6L 手动 豪华型,东风风行SX6首保不予免费希望得到处理,"L313,",2021-01-31,厂家受理
569149,广汽本田,雅阁,2018款 2.0L 锐领版 锐·混动 国V,广汽本田雅阁4S店维修后车辆出现划痕磕碰,"J300,",2021-01-31,处理反馈
569146,东风日产,逍客,2019款 2.0L CVT 豪华版,东风日产逍客发电机皮带轮脱落希望处理,"H73,",2021-01-31,处理反馈
569143,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲智版,东风雪铁龙C4L高压油泵故障希望处理,"H78,",2021-01-31,厂家受理
569142,广汽本田,雅阁,2018款 260TURBO 精英版 国V,广汽本田雅阁中控台颠簸时存在异响,"H93,",2021-01-31,处理反馈
569139,长城汽车,风骏7,2019款 2.0T 柴油 两驱 超值型 国VI 大双 GW4D20M,长城风骏7发动机涡轮增压器损坏厂家不保修,"A189,I297,",2021-01-31,厂家受理
569137,长安汽车,长安欧尚X7,2020款 1.5T 手动 精英型,长安欧尚X7前后保险杠有严重的色差,"H201,",2021-01-31,处理反馈
569135,吉利汽车,远景X3,2017款 1.5L 手动 精英型,吉利远景X3 4S店维修技术差服务态度差,"I293,J303,",2021-01-31,处理反馈
569134,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI 臻选动感型,一汽大众奥迪A6L轮毂氧化希望厂家解决,"H243,",2021-01-31,信息审核
569132,上汽通用五菱,新宝骏RC-6,2019款 1.5T 手动 24小时在线精英型,新宝骏RC-6后备箱异响 4S店出售库存车,"H134,H15,H152,K307,M283,",2021-01-31,信息审核
569130,东风标致,标致3008,2013款 1.6T 自动 THP至尚版,东风标致3008发动机水温不稳定,"A191,",2021-01-31,处理反馈
569128,一汽丰田,RAV4荣放,2020款 双擎 2.5L CVT 四驱 精英PLUS版,一汽丰田RAV4荣放发动机机油增多 车窗异响,"A339,H72,",2021-01-31,信息审核
569126,广汽丰田,凯美瑞,2018款 2.5G 自动 豪华版,广汽丰田凯美瑞变速箱漏油要求厂家处理,"B22,",2021-01-31,处理反馈
569125,长城汽车,哈弗大狗,2021款 1.5T DCT 边牧版,哈弗大狗挡风玻璃有瑕疵 电瓶亏电,"H146,H113,",2021-01-31,处理反馈
569123,御捷新能源,御捷E驰,2017款 标准型,御捷E驰电机控制器故障导致无法正常使用,"A346,",2021-01-31,信息审核
569121,东风日产,奇骏,2020款 2.0L XL ITS CVT 2WD 智联舒适版,东风日产奇骏高速行驶时发电机皮带轮掉落,"H73,",2021-01-31,处理反馈
569118,一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,一汽丰田卡罗拉电瓶亏电车辆无法启动,"H146,",2021-01-31,信息审核
569116,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾发动机烧机油非常严重,"A63,",2021-01-31,处理反馈
569115,一汽丰田,卡罗拉,2021款 1.2T S-CVT 精英版,一汽丰田卡罗拉变速箱异响伴随顿挫,"B33,B19,",2021-01-31,信息审核
569114,一汽-大众,高尔夫·嘉旅,2020款 280TSI 自动 好奇型,一汽大众高尔夫嘉旅刹车异响及中控异响,"E43,H93,",2021-01-31,处理反馈
569113,奔驰（进口）,奔驰C级（进口）,2020款 C 260 轿跑车,进口奔驰C级发动机故障灯亮变速箱无法挂挡,"A34,B20,",2021-01-31,厂家受理
569112,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜起步时变速箱顿挫并且异响,"B33,B19,",2021-01-31,信息审核
569111,长安铃木,奥拓,2013款 1.0L 手动 实用型,长安铃木奥拓发动机抖动排气管冒白烟,"A24,A114,H73,",2021-01-31,处理反馈
569110,一汽红旗,红旗HS5,2019款 2.0T 智联旗享版,红旗HS5高速行驶时车门有严重漏风现象,"H144,",2021-01-31,信息审核
569108,一汽-大众捷达,捷达VS5,2019款 280TSI 自动 悦享型,捷达VS5变速箱降挡顿挫 刹车盘有异响,"B19,E43,H72,H93,",2021-01-31,处理反馈
569105,一汽丰田,RAV4荣放,2019款 2.0L CVT 两驱 风尚X 限量版 国VI,一汽丰田RAV4荣放赠送保养价值与宣传不符,"M279,",2021-01-31,信息审核
569104,北京现代,北京现代ix25,2020款 1.5L CVT 尊贵型,北京现代ix25 4S店维修一直没有配件,"N318,",2021-01-31,信息审核
569103,一汽-大众奥迪,奥迪A6L,2021款 40 TFSI 豪华动感型,一汽大众奥迪A6L前大灯进灰一直未解决,"H88,",2021-01-31,信息审核
569102,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408电源管理模块故障导致故障灯亮,"H110,",2021-01-31,处理反馈
569101,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408减震器异响存在质量问题,"G52,",2021-01-31,处理反馈
569100,长安福特,锐界,2020款 EcoBoost 245 两驱 精锐型 5座,长安福特锐界车门大小不同疑似事故车,"H209,",2021-01-31,处理反馈
569097,领克,领克03,2020款 1.5TD DCT 劲版,领克03经销商出售库存车电瓶多次亏电,"M283,",2021-01-31,处理反馈
569096,长安汽车,长安欧尚X7,2020款 1.5T 手动 豪华型,长安欧尚X7玻璃水管路断开导致车内进水,"H60,",2021-01-31,厂家受理
569095,一汽-大众,探岳,2020款 280TSI 两驱 豪华智联版,一汽大众探岳车联网APP无法对车辆进行定位,"H155,",2021-01-31,用户评分
569093,广汽本田,缤智,2015款 1.5L CVT 两驱舒适型,广汽本田缤智冷车启动发动机异响故障灯亮,"A9,A34,",2021-01-31,处理反馈
569092,奇瑞汽车,瑞虎3,2016款 1.6L 手动 智尚版,奇瑞瑞虎3车门槛生锈漆面起皮要求厂家解决,"H79,H81,",2021-01-31,信息审核
569088,众泰汽车,众泰T500,2018款 1.5T 手动 尊享型 5座,众泰T500发动机线路管断裂4S店不予质保,"H168,",2021-01-31,信息审核
569084,上汽通用五菱,五菱之光小卡,2020款 1.2L 双排,五菱之光小卡刹车失灵 音箱有杂音 后轮吃胎,"E29,G245,H134,",2021-01-31,信息审核
569083,上汽集团,荣威Ei5,2019款 智联旗舰版,上汽荣威Ei5电池组故障续航严重降低,"H344,",2021-01-31,处理反馈
569081,东风日产,轩逸,2021款 经典 1.6 XE CVT 舒适版,东风日产轩逸4S店技术差 展车与实车不符,"H79,J303,",2021-01-31,处理反馈
569078,吉利汽车,远景X3,2017款 1.5L 自动 精英型,吉利远景X3 4S店办理假行驶证协商后不履行,"L314,",2021-01-31,厂家受理
569077,江淮汽车,瑞风S3,2018款 1.5L 手动 豪华型 定制版,江淮瑞风S3车身 车轮 中控台异响严重,"H15,H93,H164,",2021-01-31,信息审核
569075,奇瑞汽车,瑞虎8 PLUS,2021款 290TGDI DCT 豪享版,奇瑞瑞虎8 PLUS发动机异响 车窗异响,"A9,H72,H263,",2021-01-31,信息审核
569071,北京现代,领动,2020款 1.4T 双离合 炫动·活力型,北京现代领动发动机漏油存在质量问题,"A12,",2021-01-31,信息审核
569066,广汽丰田,雷凌,2017款 185T CVT 精英版 国VI 改款,广汽丰田雷凌减震器漏油要求彻底解决,"G25,",2021-01-31,处理反馈
569065,长城汽车,哈弗H2,2018款 1.5T 手动 两驱 风尚型 创享版 国V,哈弗H2火花塞点火线圈线杆频繁损坏,"A91,",2021-01-31,处理反馈
569064,一汽-大众奥迪,奥迪A4L,2016款 2.0T 自动 标准型,一汽大众奥迪A4L发动机节温器漏防冻液,"A37,",2021-01-31,信息审核
569063,北京现代,名图,2014款 1.8L 自动 智能型,北京现代名图半轴漏油存在质量问题,"G51,",2021-01-31,信息审核
569061,海马汽车,海马8S,2019款 1.6TGDI 自动 潮版,海马8S厂家合伙人得奖励金活动未兑现,"L313,",2021-01-31,信息审核
569060,奇瑞汽车,风云2,2013款 1.5L 手动 快意版 两厢,奇瑞风云2车轮大幅度转向时与内衬摩擦,"H157,",2021-01-31,信息审核
569054,东风日产,逍客,2017款 2.0L CVT 精英版 国V,东风日产逍客变速箱报故障码P0776,"B84,",2021-01-31,处理反馈
569053,江汽集团,思皓X8,2021款 300T DCT 舒适版 7座,思皓X8变速器不分离无法正常行驶,"B77,",2021-01-31,信息审核
569051,奇瑞捷豹路虎,发现神行,2017款 2.0T SE,奇瑞捷豹路虎发现神行正时齿轮断裂水箱漏水,"A37,A45,",2021-01-31,处理反馈
569049,上汽大众,途观L,2018款 330TSI 自动 两驱 旗舰版 改款,上汽大众途观L底盘异响 后备箱有时锁不上,"G56,H68,",2021-01-31,处理反馈
569047,一汽-大众,宝来,2020款 1.5L 自动 精英型,一汽大众宝来冷车行驶时刹车异响明显,"E43,",2021-01-31,处理反馈
569045,奇瑞汽车,艾瑞泽M7,2015款 1.8L 手动 宽悦版 232座,奇瑞艾瑞泽M7 4S店无车门配件要求解决,"H79,N318,",2021-01-31,信息审核
569044,北汽新能源,EV系列,2016款 EV160 轻快版,北汽新能源EV系列动力电池无法充电,"H340,",2021-01-31,用户评分
569043,星途,星途TXL,2021款 1.6T 两驱 星耀版,星途TXL 4S店贴膜质量差操作不规范,"J303,J299,",2021-01-31,信息审核
569041,Jeep（进口）,指南者（进口）,2014款 2.4L 自动 四驱 运动版,进口Jeep指南者车内有严重异味影响身体健康,"H185,",2021-01-31,信息审核
569034,猎豹汽车,猎豹CS10,2017款 1.5T CVT 尊贵型,猎豹CS10原地左右打方向盘时有异响,"D59,",2021-01-31,信息审核
569032,北京现代,北京现代ix25,2015款 1.6L 自动 两驱 智能型 GLS 5座,北京现代ix25事故车维修配件一直未到货,"N320,",2021-01-31,信息审核
569030,长城汽车,哈弗H6 Coupe,2019款 1.5T 自动 两驱 豪华智联版 国V,哈弗H6 Coupe车身多处异响售后服务态度差,"H15,I293,",2021-01-31,处理反馈
569029,广汽本田,飞度,2016款 1.5L LXS CVT 舒适天窗版,广汽本田飞度冷车启动发动机VTC执行器异响,"A9,",2021-01-31,处理反馈
569026,北京现代,瑞纳,2014款 1.4L 手动 智能型GLS 三厢,北京现代瑞纳发动机油耗高车身抖动,"A12,A85,H15,H268,H149,",2021-01-31,信息审核
569022,昌河铃木,利亚纳A6,2016款 1.4L 手动 理想型 两厢,昌河铃木利亚纳A6电动转向系统故障,"D156,D291,",2021-01-31,信息审核
569021,陆风汽车,陆风X7,2015款 2.0T 全景尊贵版,陆风X7变速箱挂挡不走厂家一直没有回应,"B334,I294,",2021-01-31,信息审核
569018,长安汽车,奔奔E-Star,2021款 国民版 心悦版,长安奔奔E-Star经销商出售事故车要求处理,"M284,",2021-01-31,处理反馈
